filepath,sb_id,time_uploaded_to_sb
out_xml/01_spatial.xml,5e5c1c1ce4b01d50924f27e7,2020-12-08 12:31 UTC
out_data/01_spatial.zip,5e5c1c1ce4b01d50924f27e7,2020-12-07 19:29 UTC
out_data/lake_metadata.csv,5e5c1c1ce4b01d50924f27e7,2020-12-07 20:57 UTC
